2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bellaire | S-21-02 | 1,10,,7,,,,Bellaire,S-21-02,PTSD,18 to 65 years of age,Archive,Not Selected,04/30/2026,04/30/2027,,,25,4124,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellaire | V201-08 |,110,,70,,,,Bellaire,V201-08,Influenza,Adolescent (5 to 12),Pipeline,Potential,04/18/2026,01/15/2027,,,100,4195,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,9,0,3,0,0,0,0,0,0,0,0,0,0
Bellaire | VAX31-104 |,60,,48,,,,Bellaire,VAX31-104,Pneumococcal,18 to 49 years of age,Pipeline,Potential,04/01/2026,04/01/2027,,,60,2506,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,4,0,3,0,5,0,3,0,5,0,3,0,4
Bellaire | ALTO-100-211 |,6,,1,,,,Bellaire,ALTO-100-211,Depression,18 to 49 years of age,Closed,Pre-Closed,09/13/2024,03/30/2026,,,1,4428,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Boston | C4591081 |,135,,135,,,,Boston,C4591081,COVID-19,50 to 65 years of age,Maintenance,Maintenance,01/09/2026,06/15/2026,,,200,6882,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellaire | ITI-007-505 |,11,,8,,,,Bellaire,ITI-007-505,Major Depressive Disorder,18 to 49 years of age,Enrolling,Enrolling,07/03/2023,07/12/2027,,,10,1580,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
Kool Kids | 224349 |,34,,15,,,,Kool Kids,224349,MMRVNS Vaccine,6 months to < 12 years of age,Startup,Site Selected,04/24/2026,08/24/2027,,,34,6895,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,1,4,2,4,1,3,3,4,3,3,2,4,3
Bellaire | VX24-548-111 |,8,,4,,,,Bellaire,VX24-548-111,Diabetic Neuropathy,adults greater than and equal to 18 years of age,Archive,Not Selected,04/22/2026,04/23/2027,,,8,6935,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | 20230219 |,3,,2,,,,Boston,20230219,Gout,adults greater than and equal to 18 years of age,Archive,DM Declined,03/17/2026,06/17/2027,,,3,6841,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | 218130 |,150,,100,,,,Boston,218130,Influenza,> 65 years of age,Startup,Site Selected,09/01/2026,10/30/2026,,,150,2613,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | 218132 |,90,,90,,,,Boston,218132,Influenza,18 to 49 years of age,Pipeline,PSV Completed,10/01/2026,12/15/2026,,,150,2624,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | 218139 |,200,,140,,,,Boston,218139,Influenza,18 to 49 years of age,Pipeline,On Hold/Postponed,04/01/2026,04/01/2027,,,200,2635,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | 218741 |,50,,35,,,,Boston,218741,RSV_Flu Vaccine,18 to 49 years of age,Pipeline,On Hold/Postponed,04/01/2026,04/01/2027,,,50,3019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | 221847 |,200,,160,,,,Boston,221847,COVID-19,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,10/01/2026,04/16/2027,,,225,5000,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | 7061759 |,3,,0,,,,Boston,7061759,Immunoglobulin G4-Related Disease,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/01/2026,07/28/2027,,,4,5476,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | AIC316-01-III-01 |,0,,0,,,,Boston,AIC316-01-III-01,HSV Treatment,adults greater than and equal to 18 years of age,Archive,DM Declined,05/28/2026,12/03/2026,,,4,6213,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | BC #139639-01 |,7,,0,,,,Boston,BC #139639-01,UTI,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,10,5457,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas-Fort Worth | 301160 |,8,,6,,,,Dallas-Fort Worth,301160,MASH,"18 to 75 Years (Adults, Older Adults)",Enrolling,Greenlight Received,04/20/2026,8/28/2027,,,8,5659,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boston | C4931009 |,75,,60,,,,Boston,C4931009,Pneumococcal,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,04/21/2026,08/17/2026,,,212,4924,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | C4931014 |,60,,40,,,,Boston,C4931014,Pneumococcal,> 65 years of age,Pipeline,On Hold/Postponed,04/03/2026,06/12/2026,,,50,4961,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | C6271002 |,205,,146,,,,Boston,C6271002,Influenza,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,09/05/2026,10/01/2026,,,347,6143,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | D6405C00001 |,8,,5,,,,Boston,D6405C00001,Chronic Kidney Disease,"18 to 75 Years (Adults, Older Adults)",Pipeline,On Hold/Postponed,04/27/2026,4/27/2027,,,20,5732,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | D6940C00002 |,8,,6,,,,Boston,D6940C00002,Rheumatoid Arthritis,"18 to 75 Years (Adults, Older Adults)",Pipeline,Potential,04/01/2026,4/1/2027,,,8,5782,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | D7130C00002 |,8,,6,,,,Boston,D7130C00002,Rheumatoid Arthritis,"18 to 75 Years (Adults, Older Adults)",Pipeline,Potential,04/01/2026,4/1/2027,,,8,5779,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas-Fort Worth | 306246 |,8,,6,,,,Dallas-Fort Worth,306246,MASH,"18 to 75 Years (Adults, Older Adults)",Enrolling,Greenlight Received,4/20/2026,8/28/2027,,,3,5666,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boston | D8750C00010 |,5,,4,,,,Boston,D8750C00010,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,8/1/2026,7/23/2026,,,13,6286,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | D8750C00011 |,5,,4,,,,Boston,D8750C00011,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,08/01/2026,6/26/2026,,,13,6306,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | D8750C00012 |,13,,10,,,,Boston,D8750C00012,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,08/01/2026,7/31/2026,,,13,6277,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | D8750C00014 |,13,,10,,,,Boston,D8750C00014,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,08/01/2026,8/21/2026,,,13,6297,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | ELU42 |,10,,8,,,,Boston,ELU42,Diabetic Foot Ulcer,"18 to 75 Years (Adults, Older Adults)",Pipeline,Potential,04/01/2026,5/22/2026,,,10,6026,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | ERN: 7083 |,50,,35,,,,Boston,ERN: 7083,COVID-19,18 to 49 years of age,Pipeline,On Hold/Postponed,04/01/2026,4/1/2027,,,50,2302,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | J3L-MC-EZEF |,15,,12,,,,Boston,J3L-MC-EZEF,Atherosclerotic cardiovascular disease,adults greater than and equal to 18 years of age,Pipeline,Potential,04/01/2026,11/28/2026,,,15,6009,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | MAB02735 |,80,,64,,,,Boston,MAB02735,RSV Vaccine,18 to 49 years of age,Pipeline,Potential,08/01/2026,08/31/2026,,,100,4207,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
Boston | MET233-097-25-202 |,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,6812,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Boston | mRNA-1189-P301 |,15,,12,,,,Boston,mRNA-1189-P301,Epstein Barr,Teenage (12 to 17),Pipeline,Potential,04/01/2026,04/01/2027,,,15,2835,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Chicago | C4591081 |,135,,135,,,,Chicago,C4591081,COVID-19,50 to 65 years of age,Maintenance,Maintenance,01/09/2026,06/15/2026,,,200,6758,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | mRNA-1283-P301 | Part 2,200,,100,,,,Boston,mRNA-1283-P301,COVID-19,18 to 49 years of age,Pipeline,On Hold/Postponed,01/01/2026,01/01/2027,,,200,2949,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | mRNA-1403-P301 | Additional Cohort,94,,56,,,,Boston,mRNA-1403-P301,Norovirus,> 60 years of age,Maintenance,Maintenance,11/26/2025,01/28/2026,,,94,6870,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | mRNA-1468-P301 |,150,,120,,,,Boston,mRNA-1468-P301,Herpes Zoster,Elderly Adults (50+),Pipeline,On Hold/Postponed,06/01/2026,06/01/2027,,,150,2482,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,0,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/01/2026,01/01/2027,,,50,5074,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,02/03/2027,,,50,5081,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,02/03/2027,,,50,5088,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5095,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5102,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5109,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5116,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5123,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5130,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5137,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5144,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5151,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,50,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,Pre-award,01/05/2026,01/05/2027,,,50,5158,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | No information |,10,,0,,,,Boston,No information,Obesity,18 to 49 years of age,Pipeline,On Hold/Postponed,01/02/2026,01/02/2027,,,10,5229,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,COVID-19,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,03/01/2026,03/01/2027,,,10,5715,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,COVID-19,> 65 years of age,Pipeline,Pre-award,09/01/2026,09/01/2027,,,15,5754,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,Contraception,18 to 49 years of age,Pipeline,Pre-award,01/01/2026,11/14/2026,,,13,5766,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,Herpes Zoster,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/01/2026,04/01/2027,,,10,5805,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,Plague,18 to 55 years of age,Pipeline,Pre-award,01/01/2026,01/01/2027,,,10,5827,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,Urticaria,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/01/2026,04/01/2027,,,10,5918,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,Hypothyroidism,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,01/01/2027,,,8,5925,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Pneumococcal,50 to 80 years of age,Pipeline,Pre-award,03/01/2026,05/31/2026,,,100,5959,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Rheumatoid Arthritis,adults greater than and equal to 18 years of age,Pipeline,Potential,04/01/2026,04/01/2027,,,10,6151,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,HSV,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,4/1/2027,,,8,6174,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Erectile Dysfunction,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,7/31/2026,,,15,6196,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,CVOT,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,07/01/2026,7/31/2027,,,122,6363,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | None at the moment |,0,,0,,,,Boston,None at the moment,HSV,adults greater than and equal to 18 years of age,Pipeline,Pre-award,03/01/2026,8/31/2026,,,14,6373,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/06/2026,1/6/2027,,,15,6402,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,IBS,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,20,6438,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Epstein Barr,18 to 20 years of age,Pipeline,Pre-award,07/01/2026,07/01/2027,,,50,6459,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,colorectal cancer (CRC),"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/30/2026,04/30/2027,,,8,6728,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Obesity,adults greater than and equal to 18 years of age,Archive,CRO Not Selected,05/01/2026,5/1/2027,,,50,6854,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Osteoarthritis,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,01/29/2027,,,10,6891,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellaire | VBD00002 |,80,,64,,,,Bellaire,VBD00002,RSV Vaccine,Elderly Adults (50+),Pipeline,On Hold/Postponed,10/02/2027,,,,80,3867,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,ST-elevation Myocardial Infarction,"18 to 75 Years (Adults, Older Adults)",Archive,CRO Not Selected,07/01/2026,12/31/2026,,,6,6986,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Obesity,adults greater than and equal to 18 years of age,Archive,DM Declined,05/02/2026,02/01/2027,,,8,7042,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the moment |,0,,0,,,,Boston,none at the moment,Influenza,adults greater than and equal to 18 years of age,Pipeline,Potential,07/23/2026,11/13/2026,,,150,7122,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | none at the tmoment |,0,,0,,,,Boston,none at the tmoment,Migraine,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,02/02/2026,2/2/2027,,,10,6072,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | OAB71527 |,50,,18,,,,Boston,OAB71527,Shingles,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,03/31/2026,3/31/2027,,,175,5052,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | PAB72224 |,0,,0,,,,Boston,PAB72224,Glabeller Lines,18 to 65 years of age,Pipeline,Pre-award,05/02/2026,5/29/2026,,,10,6105,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | PAB78438 |,0,,0,,,,Boston,PAB78438,Type 2 Diabetes,adults greater than and equal to 18 years of age,Pipeline,Pre-award,07/01/2026,7/1/2027,,,10,6053,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | QAB45622 |,,,,,,,Boston,QAB45622,Herpes Zoster,adults greater than and equal to 18 years of age,Pipeline,Potential,12/05/2026,,,,,7270,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | RAB35102 |,8,,5,,,,Boston,RAB35102,Lyme,18 to 55 years of age,Pipeline,Potential,05/08/2026,5/30/2026,,,8,7085,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | RIV-HU6-2203 |,10,,7,,,,Boston,RIV-HU6-2203,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,On Hold/Postponed,04/01/2026,7/1/2026,,,10,5239,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | US-EPS-24070 |,12,,7,,,,Boston,US-EPS-24070,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,Potential,04/01/2026,7/28/2026,,,12,4622,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | V118_24 |,113,,113,,,,Boston,V118_24,Influenza,> 65 years of age,Maintenance,Maintenance,11/3/2025,11/30/2025,,,200,5619,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | V201_05 |,250,,0,,,,Boston,V201_05,Influenza,18 to 49 years of age,Pipeline,On Hold/Postponed,3/1/2027,5/31/2027,,,250,2129,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | VAX31-104 |,60,,48,,,,Boston,VAX31-104,Pneumococcal,18 to 49 years of age,Pipeline,Potential,4/1/2026,4/1/2027,,,60,2507,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,4,0,3,0,5,0,3,0,5,0,3,0,4
Bellaire | VP-VHX-896-3201 |,10,,10,,,,Bellaire,VP-VHX-896-3201,Major Depressive Disorder,"18 to 75 Years (Adults, Older Adults)",Enrolling,Greenlight Received,10/15/2025,4/1/2027,,,25,6387,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0
Boston | VXB241-002 |,0,,0,,,,Boston,VXB241-002,RSV Vaccine,> 60 years of age,Pipeline,Pre-award,4/1/2026,4/1/2027,,,8,6988,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellaire | VP-VQW-765-3201 |,16,,10,,,,Bellaire,VP-VQW-765-3201,SAD/MAD,18 to 65 years of age,Enrolling,Greenlight Received,2/20/2026,10/30/2026,,,18,6337,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,3,2,3,2,1,1,0,0,0,0,0,0,0,0
Chicago | 1404-0051 |,10,,8,,,,Chicago,1404-0051,Obesity,Adolescent (5 to 12),Pipeline,Potential,4/11/2026,4/11/2028,,,10,3460,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago | 20230219 |,3,,2,,,,Chicago,20230219,Gout,adults greater than and equal to 18 years of age,Archive,DM Declined,3/17/2026,6/17/2027,,,3,6842,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago | 218130 |,150,,100,,,,Chicago,218130,Influenza,> 65 years of age,Pipeline,PSV Completed,9/1/2026,10/29/2026,,,150,2619,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
