,,4/24/2026,Latest Pipeline Update Date,,,,,,,,,,,,,,,,,,,,Link to Randomization Goals,,,,,,,,,,,,,,,,,,,Site Selector:,,,,,,,,,,,,,,,,,,Sponsor Selection:,,"Click on the upper ""+"" view month and lower ""+"" to view Qtr ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Awarded,82,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,"  21,700 ",  - ,  - ,  - ,"  21,700 ",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  21,700 ",  - ,16.2%,"  10,771,803 ",  - ,"  10,771,803 ",  - ,"  468,955 ","  2,205,545 ","  8,097,304 ",  - ,  - ,  - ,  - ,"  21,259 ","  447,695 ","  683,468 ","  729,969 ","  792,107 ","  5,674,548 ","  1,736,780 ","  685,976 ",26.5%,"  5,057,552 ","  2,133,255 ","  1,920,653 ","  571,841 ","  431,803 ","  1,123,416 ","  696,891 ","  312,948 ","  865,532 ","  725,004 ","  330,118 ","  275,819 ","  185,869 ","  110,153 ","  216,054 ","  141,105 ","  74,644 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  24 ,  - ,  - ,  - ,  24 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  24 ,  - ,,"  11,969 ",  - ,"  11,969 ",  - ,  521 ,"  2,451 ","  8,997 ",  - ,  - ,  - ,  - ,  24 ,  497 ,  759 ,  811 ,  880 ,"  6,305 ","  1,930 ",  762 ,,24.11111111,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0.0%,,  - ,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrolling,Vaccine,,Enrolling - Vaccine,20,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.4%,"  273,761 ","  24,359 ",  - ,"  30,802 ","  218,600 ","  23,126 ","  1,233 ",  - ,  - ,  - ,  - ,"  11,311 ","  8,543 ","  10,948 ","  2,256 ","  1,103 ","  215,241 ",21.6%,"  14,360,858 ","  7,038,397 ","  7,322,461 ","  7,038,397 ","  4,660,356 ","  1,416,772 ","  1,245,333 ","  882,819 ","  2,170,737 ","  3,984,841 ","  2,423,819 ","  1,404,322 ","  832,214 ","  629,128 ","  421,037 ","  366,607 ","  543,252 ","  363,651 ","  338,429 ",9.4%,"  1,785,566 ","  700,208 ","  670,975 ","  281,940 ","  132,443 ","  233,225 ","  219,789 ","  247,193 ","  232,571 ","  219,996 ","  218,408 ","  158,113 ","  97,439 ","  26,388 ","  48,822 ","  39,611 ","  44,010 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  304 ,  27 ,  - ,  34 ,  243 ,  26 ,  1 ,  - ,  - ,  - ,  - ,  13 ,  9 ,  12 ,  3 ,  1 ,  239 ,,"  15,957 ","  249,402 ","  15,957 ","  7,820 ","  5,178 ","  1,574 ","  1,384 ",  981 ,"  2,412 ","  4,428 ","  2,693 ","  1,560 ",  925 ,  699 ,  468 ,  407 ,  604 ,  404 ,  376 ,,,,,#REF!
Enrolling,Non-Vaccine,,Enrolling - Non-Vaccine,63,0.2%,"  242,111 ","  43,641 ","  82,412 ","  46,452 ","  69,606 ","  21,314 ","  11,329 ","  10,998 ","  10,142 ","  40,963 ","  31,307 ","  21,080 ","  14,104 ","  11,268 ","  21,246 ","  25,297 ","  23,063 ",0.3%,"  237,459 ","  51,121 ","  37,996 ","  30,932 ","  117,410 ","  16,773 ","  21,463 ","  12,885 ","  9,299 ","  21,445 ","  7,252 ","  2,226 ","  10,301 ","  18,405 ","  51,024 ","  29,773 ","  36,613 ",2.7%,"  1,768,397 ","  101,079 ","  210,356 ","  447,834 ","  1,009,128 ","  11,936 ","  45,885 ","  43,258 ","  45,569 ","  73,018 ","  91,769 ","  92,111 ","  190,510 ","  165,213 ","  327,798 ","  305,829 ","  375,501 ",12.2%,"  8,110,405 ","  1,374,963 ","  6,735,442 ","  1,374,963 ","  2,058,418 ","  2,592,737 ","  2,084,286 ","  374,640 ","  416,555 ","  583,768 ","  478,467 ","  743,139 ","  836,812 ","  930,792 ","  864,105 ","  797,840 ","  757,244 ","  684,651 ","  642,392 ",21.9%,"  4,169,196 ","  1,328,695 ","  1,097,344 ","  1,041,175 ","  701,982 ","  471,976 ","  400,372 ","  456,347 ","  407,804 ","  357,905 ","  331,635 ","  355,842 ","  352,031 ","  333,302 ","  240,626 ","  271,823 ","  189,534 ",,  269 ,  48 ,  92 ,  52 ,  77 ,  24 ,  13 ,  12 ,  11 ,  46 ,  35 ,  23 ,  16 ,  13 ,  24 ,  28 ,  26 ,,  264 ,  57 ,  42 ,  34 ,  130 ,  19 ,  24 ,  14 ,  10 ,  24 ,  8 ,  2 ,  11 ,  20 ,  57 ,  33 ,  41 ,,"  1,965 ",  112 ,  234 ,  498 ,"  1,121 ",  13 ,  51 ,  48 ,  51 ,  81 ,  102 ,  102 ,  212 ,  184 ,  364 ,  340 ,  417 ,,"  9,012 ","  1,710,576 ","  9,012 ","  1,528 ","  2,287 ","  2,881 ","  2,316 ",  416 ,  463 ,  649 ,  532 ,  826 ,  930 ,"  1,034 ",  960 ,  886 ,  841 ,  761 ,  714 ,,,,,#REF!
,,,Enrolling,83,0.2%,"  242,111 ","  43,641 ","  82,412 ","  46,452 ","  69,606 ","  21,314 ","  11,329 ","  10,998 ","  10,142 ","  40,963 ","  31,307 ","  21,080 ","  14,104 ","  11,268 ","  21,246 ","  25,297 ","  23,063 ",0.3%,"  237,459 ","  51,121 ","  37,996 ","  30,932 ","  117,410 ","  16,773 ","  21,463 ","  12,885 ","  9,299 ","  21,445 ","  7,252 ","  2,226 ","  10,301 ","  18,405 ","  51,024 ","  29,773 ","  36,613 ",3.1%,"  2,042,158 ","  125,438 ","  210,356 ","  478,636 ","  1,227,728 ","  35,062 ","  47,118 ","  43,258 ","  45,569 ","  73,018 ","  91,769 ","  103,422 ","  199,053 ","  176,161 ","  330,054 ","  306,932 ","  590,742 ",33.8%,"  22,471,263 ","  8,413,360 ","  14,057,903 ","  8,413,360 ","  6,718,774 ","  4,009,509 ","  3,329,619 ","  1,257,459 ","  2,587,292 ","  4,568,609 ","  2,902,286 ","  2,147,461 ","  1,669,026 ","  1,559,920 ","  1,285,142 ","  1,164,448 ","  1,300,496 ","  1,048,302 ","  980,821 ",31.2%,"  5,954,762 ","  2,028,903 ","  1,768,319 ","  1,323,115 ","  834,426 ","  705,201 ","  620,161 ","  703,541 ","  640,375 ","  577,901 ","  550,043 ","  513,954 ","  449,470 ","  359,690 ","  289,448 ","  311,434 ","  233,544 ",,  269 ,  48 ,  92 ,  52 ,  77 ,  24 ,  13 ,  12 ,  11 ,  46 ,  35 ,  23 ,  16 ,  13 ,  24 ,  28 ,  26 ,,  264 ,  57 ,  42 ,  34 ,  130 ,  19 ,  24 ,  14 ,  10 ,  24 ,  8 ,  2 ,  11 ,  20 ,  57 ,  33 ,  41 ,,"  2,269 ",  139 ,  234 ,  532 ,"  1,364 ",  39 ,  52 ,  48 ,  51 ,  81 ,  102 ,  115 ,  221 ,  196 ,  367 ,  341 ,  656 ,,"  24,968 ",  - ,"  24,968 ","  9,348 ","  7,465 ","  4,455 ","  3,700 ","  1,397 ","  2,875 ","  5,076 ","  3,225 ","  2,386 ","  1,854 ","  1,733 ","  1,428 ","  1,294 ","  1,445 ","  1,165 ","  1,090 ",,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0.0%,,  - ,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
Maintenance,Vaccine,,Maintenance - Vaccine,215,8.3%,"  9,112,558 ","  1,215,279 ","  3,278,236 ","  2,076,352 ","  2,542,691 ","  425,196 ","  287,238 ","  502,845 ","  1,034,535 ","  1,028,167 ","  1,215,534 ","  607,894 ","  906,359 ","  562,099 ","  754,315 ","  734,604 ","  1,053,772 ",37.0%,"  29,347,935 ","  2,686,278 ","  2,501,630 ","  3,024,295 ","  21,135,732 ","  1,326,882 ","  835,548 ","  523,848 ","  662,700 ","  579,694 ","  1,259,236 ","  669,048 ","  1,444,375 ","  910,872 ","  9,553,571 ","  6,971,295 ","  4,610,866 ",72.3%,"  48,137,142 ","  10,664,041 ","  12,972,645 ","  6,649,037 ","  17,851,419 ","  3,824,023 ","  2,816,701 ","  4,023,317 ","  6,693,663 ","  3,708,354 ","  2,570,628 ","  2,794,407 ","  2,131,601 ","  1,723,029 ","  5,073,135 ","  5,526,983 ","  7,251,301 ",32.6%,"  21,689,906 ","  11,532,147 ","  10,157,759 ","  11,532,147 ","  5,715,696 ","  1,456,117 ","  2,985,947 ","  4,511,795 ","  3,880,509 ","  3,139,843 ","  2,052,208 ","  2,483,430 ","  1,180,058 ","  641,904 ","  403,529 ","  410,685 ","  1,182,156 ","  628,640 ","  1,175,151 ",3.4%,"  656,563 ","  461,216 ","  60,669 ","  110,430 ","  24,248 ","  401,586 ","  44,338 ","  15,292 ","  53,043 ","  4,745 ","  2,880 ","  9,637 ","  72,775 ","  28,019 ","  23,528 ",  720 ,  - ,,"  10,125 ","  1,350 ","  3,642 ","  2,307 ","  2,825 ",  472 ,  319 ,  559 ,"  1,149 ","  1,142 ","  1,351 ",  675 ,"  1,007 ",  625 ,  838 ,  816 ,"  1,171 ",,"  32,609 ","  2,985 ","  2,780 ","  3,360 ","  23,484 ","  1,474 ",  928 ,  582 ,  736 ,  644 ,"  1,399 ",  743 ,"  1,605 ","  1,012 ","  10,615 ","  7,746 ","  5,123 ",,"  53,486 ","  11,849 ","  14,414 ","  7,388 ","  19,835 ","  4,249 ","  3,130 ","  4,470 ","  7,437 ","  4,120 ","  2,856 ","  3,105 ","  2,368 ","  1,914 ","  5,637 ","  6,141 ","  8,057 ",,"  24,100 ","  41,496,418 ","  24,100 ","  12,813 ","  6,351 ","  1,618 ","  3,318 ","  5,013 ","  4,312 ","  3,489 ","  2,280 ","  2,759 ","  1,311 ",  713 ,  448 ,  456 ,"  1,314 ",  698 ,"  1,306 ",,,,,#REF!
Maintenance,Non-Vaccine,,Maintenance - Non-Vaccine,67,0.6%,"  635,085 ","  73,568 ","  119,586 ","  238,599 ","  203,332 ","  32,209 ","  19,583 ","  21,776 ","  31,982 ","  32,974 ","  54,630 ","  90,651 ","  80,558 ","  67,390 ","  54,130 ","  60,495 ","  88,707 ",5.5%,"  4,361,779 ","  549,493 ","  804,355 ","  1,508,911 ","  1,499,020 ","  177,323 ","  181,861 ","  190,309 ","  221,734 ","  239,951 ","  342,670 ","  476,267 ","  534,421 ","  498,223 ","  522,466 ","  485,787 ","  490,767 ",13.2%,"  8,782,396 ","  2,057,659 ","  2,238,099 ","  2,635,297 ","  1,851,341 ","  719,483 ","  691,326 ","  646,850 ","  695,196 ","  821,407 ","  721,496 ","  857,619 ","  938,061 ","  839,617 ","  767,135 ","  462,786 ","  621,420 ",5.3%,"  3,506,688 ","  1,589,127 ","  1,917,561 ","  1,589,127 ","  912,410 ","  745,573 ","  259,578 ","  540,207 ","  558,221 ","  490,699 ","  329,138 ","  265,998 ","  317,274 ","  282,972 ","  249,409 ","  213,191 ","  122,803 ","  83,035 ","  53,740 ",1.8%,"  344,141 ","  138,359 ","  99,443 ","  71,129 ","  35,210 ","  48,015 ","  46,941 ","  43,404 ","  34,434 ","  32,150 ","  32,859 ","  26,343 ","  29,598 ","  15,188 ","  12,060 ","  17,072 ","  6,079 ",,  706 ,  82 ,  133 ,  265 ,  226 ,  36 ,  22 ,  24 ,  36 ,  37 ,  61 ,  101 ,  90 ,  75 ,  60 ,  67 ,  99 ,,"  4,846 ",  611 ,  894 ,"  1,677 ","  1,666 ",  197 ,  202 ,  211 ,  246 ,  267 ,  381 ,  529 ,  594 ,  554 ,  581 ,  540 ,  545 ,,"  9,758 ","  2,286 ","  2,487 ","  2,928 ","  2,057 ",  799 ,  768 ,  719 ,  772 ,  913 ,  802 ,  953 ,"  1,042 ",  933 ,  852 ,  514 ,  690 ,,"  3,896 ","  7,371,587 ","  3,896 ","  1,766 ","  1,014 ",  828 ,  288 ,  600 ,  620 ,  545 ,  366 ,  296 ,  353 ,  314 ,  277 ,  237 ,  136 ,  92 ,  60 ,,,,,#REF!
,,,Maintenance,282,8.8%,"  9,747,643 ","  1,288,847 ","  3,397,822 ","  2,314,951 ","  2,746,023 ","  457,405 ","  306,821 ","  524,621 ","  1,066,517 ","  1,061,141 ","  1,270,164 ","  698,545 ","  986,917 ","  629,489 ","  808,445 ","  795,099 ","  1,142,479 ",42.5%,"  33,709,714 ","  3,235,771 ","  3,305,985 ","  4,533,206 ","  22,634,752 ","  1,504,205 ","  1,017,409 ","  714,157 ","  884,434 ","  819,645 ","  1,601,906 ","  1,145,315 ","  1,978,796 ","  1,409,095 ","  10,076,037 ","  7,457,082 ","  5,101,633 ",85.5%,"  56,919,538 ","  12,721,700 ","  15,210,744 ","  9,284,334 ","  19,702,760 ","  4,543,506 ","  3,508,027 ","  4,670,167 ","  7,388,859 ","  4,529,761 ","  3,292,124 ","  3,652,026 ","  3,069,662 ","  2,562,646 ","  5,840,270 ","  5,989,769 ","  7,872,721 ",37.9%,"  25,196,594 ","  13,121,274 ","  12,075,320 ","  13,121,274 ","  6,628,106 ","  2,201,689 ","  3,245,525 ","  5,052,002 ","  4,438,730 ","  3,630,542 ","  2,381,346 ","  2,749,428 ","  1,497,332 ","  924,876 ","  652,938 ","  623,876 ","  1,304,959 ","  711,675 ","  1,228,891 ",5.3%,"  1,000,704 ","  599,575 ","  160,112 ","  181,559 ","  59,458 ","  449,601 ","  91,279 ","  58,696 ","  87,478 ","  36,895 ","  35,739 ","  35,979 ","  102,373 ","  43,206 ","  35,588 ","  17,792 ","  6,079 ",,"  10,831 ","  1,432 ","  3,775 ","  2,572 ","  3,051 ",  508 ,  341 ,  583 ,"  1,185 ","  1,179 ","  1,411 ",  776 ,"  1,097 ",  699 ,  898 ,  883 ,"  1,269 ",,"  37,455 ","  3,595 ","  3,673 ","  5,037 ","  25,150 ","  1,671 ","  1,130 ",  794 ,  983 ,  911 ,"  1,780 ","  1,273 ","  2,199 ","  1,566 ","  11,196 ","  8,286 ","  5,668 ",,"  63,244 ","  14,135 ","  16,901 ","  10,316 ","  21,892 ","  5,048 ","  3,898 ","  5,189 ","  8,210 ","  5,033 ","  3,658 ","  4,058 ","  3,411 ","  2,847 ","  6,489 ","  6,655 ","  8,747 ",,"  27,996 ",  - ,"  27,996 ","  14,579 ","  7,365 ","  2,446 ","  3,606 ","  5,613 ","  4,932 ","  4,034 ","  2,646 ","  3,055 ","  1,664 ","  1,028 ",  725 ,  693 ,"  1,450 ",  791 ,"  1,365 ",,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,0.0%,,  - ,,,,,,,,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
Ready for Closeout,Vaccine,,Ready for Closeout - Vaccine,0,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,,,#REF!
Ready for Closeout,Non-Vaccine,,Ready for Closeout - Non-Vaccine,0,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,,,#REF!
,,,Ready For Closeout,0,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closed,Vaccine,,Closed - Vaccine,268,85.3%,"  94,092,684 ","  18,930,191 ","  22,079,290 ","  19,139,557 ","  33,943,646 ","  8,402,884 ","  5,348,848 ","  5,178,459 ","  5,591,803 ","  9,977,221 ","  6,510,266 ","  5,130,647 ","  8,103,961 ","  5,904,949 ","  12,505,196 ","  14,978,494 ","  6,459,956 ",50.6%,"  40,175,586 ","  14,726,468 ","  13,175,229 ","  5,656,306 ","  6,617,583 ","  5,944,053 ","  4,973,722 ","  3,808,693 ","  4,698,031 ","  6,309,031 ","  2,168,167 ","  2,670,424 ","  1,654,658 ","  1,331,224 ","  2,188,707 ","  3,363,111 ","  1,065,765 ",10.1%,"  6,740,172 ","  3,190,940 ","  2,532,479 ","  615,090 ","  401,663 ","  853,040 ","  237,300 ","  2,100,600 ","  1,341,769 ","  893,983 ","  296,727 ","  59,168 ","  424,179 ","  131,743 ","  283,197 ","  60,969 ","  57,497 ",0.6%,"  381,456 ","  381,456 ",  - ,"  381,456 ",  - ,  - ,  - ,"  90,782 ","  61,489 ","  229,185 ",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  104,547 ","  21,034 ","  24,533 ","  21,266 ","  37,715 ","  9,337 ","  5,943 ","  5,754 ","  6,213 ","  11,086 ","  7,234 ","  5,701 ","  9,004 ","  6,561 ","  13,895 ","  16,643 ","  7,178 ",,"  44,640 ","  16,363 ","  14,639 ","  6,285 ","  7,353 ","  6,605 ","  5,526 ","  4,232 ","  5,220 ","  7,010 ","  2,409 ","  2,967 ","  1,839 ","  1,479 ","  2,432 ","  3,737 ","  1,184 ",,"  7,489 ","  3,545 ","  2,814 ",  683 ,  446 ,  948 ,  264 ,"  2,334 ","  1,491 ",  993 ,  330 ,  66 ,  471 ,  146 ,  315 ,  68 ,  64 ,,  424 ,  - ,  424 ,  424 ,  - ,  - ,  - ,  101 ,  68 ,  255 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,,,#REF!
Closed,Non-Vaccine,,Closed - Non-Vaccine,110,5.7%,"  6,264,142 ","  2,241,502 ","  1,466,636 ","  1,505,105 ","  1,050,899 ","  596,370 ","  869,556 ","  775,576 ","  534,914 ","  571,862 ","  359,860 ","  318,781 ","  595,329 ","  590,995 ","  374,897 ","  424,896 ","  251,106 ",6.6%,"  5,225,093 ","  1,502,413 ","  1,993,630 ","  937,688 ","  791,362 ","  312,055 ","  566,707 ","  623,651 ","  506,725 ","  554,726 ","  932,179 ","  396,850 ","  261,955 ","  278,883 ","  246,426 ","  229,152 ","  315,784 ",1.3%,"  832,912 ","  461,946 ","  221,121 ","  62,293 ","  87,552 ","  166,687 ","  44,448 ","  250,811 ","  115,937 ","  78,720 ","  26,464 ","  93,284 ","  34,780 ","  (65,771)","  11,300 ","  74,903 ","  1,349 ",0.0%,"  16,199 ","  16,199 ",  - ,"  16,199 ",  - ,  - ,  - ,"  13,279 ","  2,920 ",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  6,960 ","  2,491 ","  1,630 ","  1,672 ","  1,168 ",  663 ,  966 ,  862 ,  594 ,  635 ,  400 ,  354 ,  661 ,  657 ,  417 ,  472 ,  279 ,,"  5,806 ","  1,669 ","  2,215 ","  1,042 ",  879 ,  347 ,  630 ,  693 ,  563 ,  616 ,"  1,036 ",  441 ,  291 ,  310 ,  274 ,  255 ,  351 ,,  925 ,  513 ,  246 ,  69 ,  97 ,  185 ,  49 ,  279 ,  129 ,  87 ,  29 ,  104 ,  39 ,  (73),  13 ,  83 ,  1 ,,  18 ,  - ,  18 ,  18 ,  - ,  - ,  - ,  15 ,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,,,#REF!
,,,Closed,378,90.9%,"  100,356,826 ","  21,171,693 ","  23,545,926 ","  20,644,662 ","  34,994,545 ","  8,999,254 ","  6,218,404 ","  5,954,035 ","  6,126,717 ","  10,549,083 ","  6,870,126 ","  5,449,428 ","  8,699,290 ","  6,495,944 ","  12,880,093 ","  15,403,390 ","  6,711,062 ",57.2%,"  45,400,679 ","  16,228,881 ","  15,168,859 ","  6,593,994 ","  7,408,945 ","  6,256,108 ","  5,540,429 ","  4,432,344 ","  5,204,756 ","  6,863,757 ","  3,100,346 ","  3,067,274 ","  1,916,613 ","  1,610,107 ","  2,435,133 ","  3,592,263 ","  1,381,549 ",11.4%,"  7,573,084 ","  3,652,886 ","  2,753,600 ","  677,383 ","  489,215 ","  1,019,727 ","  281,748 ","  2,351,411 ","  1,457,706 ","  972,703 ","  323,191 ","  152,452 ","  458,959 ","  65,972 ","  294,497 ","  135,872 ","  58,846 ",0.6%,"  397,655 ","  397,655 ",  - ,"  397,655 ",  - ,  - ,  - ,"  104,061 ","  64,409 ","  229,185 ",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  111,508 ","  23,524 ","  26,162 ","  22,939 ","  38,883 ","  9,999 ","  6,909 ","  6,616 ","  6,807 ","  11,721 ","  7,633 ","  6,055 ","  9,666 ","  7,218 ","  14,311 ","  17,115 ","  7,457 ",,"  50,445 ","  18,032 ","  16,854 ","  7,327 ","  8,232 ","  6,951 ","  6,156 ","  4,925 ","  5,783 ","  7,626 ","  3,445 ","  3,408 ","  2,130 ","  1,789 ","  2,706 ","  3,991 ","  1,535 ",,"  8,415 ","  4,059 ","  3,060 ",  753 ,  544 ,"  1,133 ",  313 ,"  2,613 ","  1,620 ","  1,081 ",  359 ,  169 ,  510 ,  73 ,  327 ,  151 ,  65 ,,  442 ,  - ,  442 ,  442 ,  - ,  - ,  - ,  116 ,  72 ,  255 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
