Copy of Revenue Forecast Model 2023-2027 (05/22/2026),,,, Sites name changed ,8:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",0% - 10%,,,,,,,,,,,,,,,,,,Total Actual + Fin goals,Sponsor Vs Fin goals,Total Actual + Ops goals,Sponsor Vs Ops goals,,,,,,,,,,,,,,
PMT,1299,1599 & 2913,TMB | mRNA-1345-P303,Tomball 13406,Dr. Vicki Miller,mRNA-1345-P303,Maintenance,Maintenance,Moderna,PPD,RSV,Vaccine-Respiratory,Vaccine,,"17,359","5,121",932,0,"2,696",0,0,0,0,0,0,0,"26,108.28",Maintenance,0,100%,,11/16/2023,Non-Psych,"17,346", Moderna RSV mRNA 1345-P303 ,PPD,Moderna,Active,Maintenance,1599 & 2913TMB | mRNA-1345-P303,28,0,28,"288,034","288,034",No Priority,"465,362",Q4,PPD,Maintenance,Tomball 13406,Vaccine-Respiratory,76% - 85%,Maintenance,Moderna,PPD,Not Priority,"23,412","2,696",0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,"17,359","5,121",932,0,"23,412"
PMT,1299,1602 & 2912,SFL | mRNA- 1345-P303,Southfield,Dr. Rana Sami Balboul,mRNA-1345-P303,Maintenance,Maintenance,Moderna,PPD,RSV,Vaccine-Respiratory,Vaccine,,"13,563","4,871","1,864",0,0,0,0,0,0,0,0,0,"20,298.00",Maintenance,0,100%,,11/28/2023,Non-Psych,"16,940", Moderna RSV mRNA 1345-P303 ,PPD,Moderna,Active,Maintenance,1602 & 2912SFL | mRNA- 1345-P303,33,0,33,"334,725","334,725",No Priority,"425,571",Q4,PPD,Maintenance,Southfield,Vaccine-Respiratory,76% - 85%,Maintenance,Moderna,PPD,Not Priority,"20,298",0,0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,"13,563","4,871","1,864",0,"20,298"
PMT,1299,1601 & 2915,PHL | mRNA- 1345-P303,Philadelphia,Dr. Kem Yenal,mRNA-1345-P303,Maintenance,Maintenance,Moderna,PPD,RSV,Vaccine-Respiratory,Vaccine,,"13,563","1,864","5,032",242,"4,200",0,0,0,0,0,0,0,"24,901.50",Maintenance,0,100%,,11/27/2023,Non-Psych,"17,346", Moderna RSV mRNA 1345-P303 ,PPD,Moderna,Active,Maintenance,1601 & 2915PHL | mRNA- 1345-P303,34,0,34,"362,097","362,097",No Priority,"534,213",Q4,PPD,Maintenance,Philadelphia,Vaccine-Respiratory,76% - 85%,Maintenance,Moderna,PPD,Not Priority,"20,459","4,443",0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,"13,563","1,864","5,032",242,"20,701"
PMT,1524,2095,CYF | 2019nCoV-314,CyFair,Dr. Khozema Palanpurwala,2019nCoV-314,Closed,Closed,Novavax,Syneos Health,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/8/2023,Non-Psych,"8,491",Novavax-2019nCoV-314/7050773-Phase  3 Monovalent SARS-CoV-2 Omicron,Syneos Health,Novavax,Active,Closed,2095CYF | 2019nCoV-314,33,0,33,"271,434","271,434",No Priority,"314,072",Q3,Syneos Health,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Other,Syneos Health,Not Priority,0,0,0,  - ,,0,0,0,40,33,33,0,,33,7,33,7,,"1,091",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,1469,1960,SFL | mRNA-1018-P101,Southfield,Dr. Rebecca Rivard,mRNA-1018-P101,Closed,Closed,Moderna,Parexel,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,7/20/2023,Non-Psych,"18,846",Moderna-mRNA-1018-P101-Pandemic Flu Vaccine-275668,Parexel,Moderna,Active,Closed,1960SFL | mRNA-1018-P101,24,0,24,"594,391","594,391",No Priority,"630,197",Q3,Parexel,Closed,Southfield,Vaccine-Influenza,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,60,25,25,0,,25,35,25,35,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1469,1972,MDC | mRNA-1018-P101,Martin Diagnostic Center,Dr. Earl F. Martin,mRNA-1018-P101,Maintenance,Maintenance,Moderna,Parexel,Influenza,Vaccine-Influenza,Vaccine,,0,-168,0,0,0,0,0,0,0,0,0,0,-168.00,Maintenance,0,100%,,8/21/2023,Non-Psych,"18,846",Moderna-mRNA-1018-P101-Pandemic Flu Vaccine-275668,Parexel,Moderna,Active,Closed,1972MDC | mRNA-1018-P101,107,0,107,"2,420,712","2,420,712",No Priority,"4,295,072",Q3,Parexel,Closed,Martin Diagnostic Center,Vaccine-Influenza,76% - 85%,Closed,Moderna,Parexel,Not Priority,-168,0,0,  - ,,0,0,0,60,66,66,0,,66,-6,66,-6,,273,151 to 300 Days,N/A,Not Included,,,,,0,-168,0,0,-168
PMT,1469,1959,SGL | mRNA-1018-P101,Sugarland,Dr. Lisa Holloway,mRNA-1018-P101,Closed,Closed,Moderna,Parexel,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/21/2023,Non-Psych,"18,846",Moderna-mRNA-1018-P101-Pandemic Flu Vaccine-275668,Parexel,Moderna,Active,Closed,1959SGL | mRNA-1018-P101,107,0,107,"2,151,858","2,151,858",No Priority,"3,488,893",Q3,Parexel,Closed,Sugarland,Vaccine-Influenza,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,60,53,53,0,,53,7,53,7,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1263,1505,TMB | mRNA-1608-P101,Tomball 13406,Dr. Vicki Miller,mRNA-1608-P101/275178,Closed,Pre-Closed,Moderna,Parexel,Herpes Zoster,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,11/9/2023,Non-Psych,"23,280",Moderna-mRNA-1608-P101/275178-Phase 1/2 HSV Type-2 Vaccine,Parexel,Moderna,Active,Closed,1505TMB | mRNA-1608-P101,12,0,12,"314,030","314,030",No Priority,"415,834",Q4,Parexel,Closed,Tomball 13406,Vaccine-Other,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,20,17,17,0,,17,3,17,3,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1263,1504,BEL | mRNA-1608-P101,Bellaire,Dr. Sheila E Schmidt,mRNA-1608-P101/275178,Maintenance,Maintenance,Moderna,Parexel,Herpes Zoster,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Maintenance,0,100%,,12/6/2023,Non-Psych,"23,280",Moderna-mRNA-1608-P101/275178-Phase 1/2 HSV Type-2 Vaccine,Parexel,Moderna,Active,Maintenance,1504BEL | mRNA-1608-P101,10,0,10,"279,498","279,498",No Priority,"423,907",Q4,Parexel,Maintenance,Bellaire Non-Psych,Vaccine-Other,76% - 85%,Maintenance,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,20,14,14,0,,14,6,14,6,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1402,1870,TMB | mRNA-1975/1982-P101,Tomball 13406,Dr. Vicki Miller,mRNA-1975/1982-P101,Closed,Pre-Closed,Moderna,Parexel,Lyme,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/15/2023,Non-Psych,"28,830",Moderna-ERN 6902-Phase 1/2 Lyme Disease,Parexel,Moderna,Active,Closed,1870TMB | mRNA-1975/1982-P101,77,0,77,"2,079,525","2,079,525",No Priority,"2,352,652",Q3,Parexel,Closed,Tomball 13406,Vaccine-Other,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,810,79,79,0,,79,731,79,731,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1402,1754,BOS | mRNA-1975/1982-P101,Brookline,Dr. Basmah Jalil,mRNA-1975/1982-P101,Closed,Pre-Closed,Moderna,Parexel,Lyme,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/18/2023,Non-Psych,"28,830",Moderna-ERN 6902-Phase 1/2 Lyme Disease,Parexel,Moderna,Active,Closed,1754BOS | mRNA-1975/1982-P101,46,0,46,"1,409,938","1,409,938",No Priority,"1,411,730",Q3,Parexel,Closed,Brookline,Vaccine-Other,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,0,51,51,0,,51,-51,51,-51,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1489,2002,BEL | C4591054,Bellaire,Dr. Veronica Fragoso,C4591054,Closed,Closed,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/10/2023,Non-Psych,"6,186",Pfizer/ICON-C4591054-Phase 2/3 NEW COVID Vaccine STUDY,ICON,Pfizer,Active,Closed,2002BEL | C4591054,20,0,20,"132,968","132,968",No Priority,"230,489",Q3,ICON,Closed,Bellaire Non-Psych,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,,0,0,0,21,21,0,,21,-21,21,-21,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1489,2188,MDC | C4591054,Martin Diagnostic Center,Dr. Earl F. Martin,C4591054,Closed,Closed,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/10/2023,Non-Psych,"6,186",Pfizer/ICON-C4591054-Phase 2/3 NEW COVID Vaccine STUDY,ICON,Pfizer,Active,Closed,2188MDC | C4591054,13,0,13,"80,415","80,415",No Priority,"186,840",Q3,ICON,Closed,Martin Diagnostic Center,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,,0,0,0,13,13,0,,13,-13,13,-13,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,55,1743,SFL | 217884,Southfield,Dr. Rana Sami Balboul,217884,Closed,Closed,GSK,PPD,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,11/10/2023,Non-Psych,"7,757", GSK-SV-MRNA-002 PRI-217884 ,PPD,GSK,Active,Closed,1743SFL | 217884,1,0,1,"14,356","14,356",No Priority,"38,583",Q4,PPD,Closed,Southfield,Vaccine-Influenza,76% - 85%,Closed,GSK,PPD,Not Priority,0,0,0,  - ,,0,0,0,140,1,1,0,,1,139,1,139,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1406,1767,MDC | V201_03,Martin Diagnostic Center,Dr. Earl F. Martin,V201_03,Closed,Pre-Closed,Seqirus,IQVIA,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,11/28/2023,Non-Psych,"8,580",Seqirus-Influenza Vaccine-V201_03,IQVIA,Seqirus,Active,Closed,1767MDC | V201_03,14,0,14,"269,753","269,753",No Priority,"296,210",Q4,IQVIA,Closed,Martin Diagnostic Center,Vaccine-Influenza,76% - 85%,Closed,Seqirus,IQVIA,Not Priority,0,0,0,  - ,,0,0,0,180,8,8,0,,8,172,8,172,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1406,1882,CYF | V201_03,CyFair,Dr. Muhammad Irfan,V201_03,Closed,Pre-Closed,Seqirus,IQVIA,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,11/28/2023,Non-Psych,"8,580",Seqirus-Influenza Vaccine-V201_03,IQVIA,Seqirus,Active,Closed,1882CYF | V201_03,30,0,30,"286,550","286,550",No Priority,"299,069",Q4,IQVIA,Closed,CyFair,Vaccine-Influenza,76% - 85%,Closed,Seqirus,IQVIA,Not Priority,0,0,0,  - ,,0,0,0,180,8,8,0,,8,172,8,172,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1294,1593,TRA | HZNP-DAZ-301,Tomball 13414, Dr. Mustafa Naeem ,HZNP-DAZ-301,Closed,Pre-Closed,Horizon Therapeutics,PPD,Sjogren's Syndrome,Allergy/Immunology,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,3/25/2024,Non-Psych,"31,065",PPD- Sjogren’s Syndrome- HZNP-DAZ-301,PPD,Horizon Therapeutics,Active,Closed,1593TRA | HZNP-DAZ-301,4,0,4,"53,069","53,069",No Priority,"118,020",Q1,PPD,Closed,Tomball 13414,General Medicine,76% - 85%,Closed,Other,PPD,Not Priority,0,0,0,  - ,,5,0,0,10,1,1,0,,1,9,1,9,,269,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,459,1794,TRA | 2021-PT055,Tomball 13414,Dr. Shaikh Arif Ali,2021-PT055,Closed,Closed,XBiotech,Unknown,Rheumatoid Arthritis,Rheumatoid and Autoimmune,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/18/2023,Non-Psych,"16,547", Xbiotech-DMCR-2021-PT055 ,No CRO,XBiotech,Active,Closed,1794TRA | 2021-PT055,18,0,18,"351,655","351,655",No Priority,"527,933",Q4,No CRO,Closed,Tomball 13414,Rheumatology,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,0,0,0,1,19,19,0,,19,-18,19,-18,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,258,3845,CYF | mRNA-1189-P101,CyFair,Dr. Kashif Ali,mRNA-1189-P101,Maintenance,Maintenance,Moderna,PPD,Epstein Barr,Vaccine-Other,Vaccine,,0,0,"440,164",0,"5,060",0,0,0,0,0,0,0,"445,224.19",Maintenance,0,100%,,8/8/2023,Non-Psych,"36,347", Moderna-DMCR-mRNA-1189-P101-105309-01 ,PPD,Moderna,Active,Maintenance,3845CYF | mRNA-1189-P101,5,0,5,"218,616","218,616",No Priority,"687,065",Q3,PPD,Maintenance,CyFair,Vaccine-Other,76% - 85%,Maintenance,Moderna,PPD,Not Priority,"440,164","5,060",0,  - ,,  20 ,0,0,  30 ,5,5,0,,5,  25 ,5,  25 ,,785,301 Onwards,N/A,Not Included,,,,,0,0,"440,164",0,"440,164"
PMT,1470,1961,TMB | EBSI-CV-317-008,Tomball 13406,Dr. Muhammad Irfan,EBSI-CV-317-008,Maintenance,Maintenance,Emergent,PPD,Chikungunya,Vaccine-Other,Vaccine,,817,"15,327","3,020","5,064","6,249",720,317,"3,170",317,"1,988","2,391",317,"39,697.84",Maintenance,0,100%,,9/6/2023,Non-Psych,"7,863",Emergent-Chikungunya Vaccine Study-Phase 3,PPD,Emergent,Active,Maintenance,1961TMB | EBSI-CV-317-008,32,0,32,"167,140","167,140",No Priority,"252,460",Q3,PPD,Maintenance,Tomball 13406,Vaccine-Other,76% - 85%,Maintenance,Other,PPD,Not Priority,"19,164","12,034","3,804","  4,696 ",,0,0,0,25,,,0,,0,25,0,25,,"1,161",301 Onwards,N/A,Not Included,,,,,817,"15,327","3,020","5,064","24,228"
PMT,1470,1990,BEL | EBSI-CV-317-008,Bellaire,Dr. Vicki Miller,EBSI-CV-317-008,Maintenance,Maintenance,Emergent,PPD,Chikungunya,Vaccine-Other,Vaccine,,0,"1,737","2,080","1,886","3,213","3,197",0,0,"1,268",634,317,"1,988","16,320.34",Maintenance,0,100%,,9/11/2023,Non-Psych,"7,658",Emergent-Chikungunya Vaccine Study-Phase 3,PPD,Emergent,Active,Maintenance,1990BEL | EBSI-CV-317-008,15,0,15,"88,417","88,417",No Priority,"124,344",Q3,PPD,Maintenance,Bellaire Non-Psych,Vaccine-Other,76% - 85%,Maintenance,Other,PPD,Not Priority,"3,817","8,296","1,268","  2,939 ",,0,0,0,25,,,0,,0,25,0,25,,"1,145",301 Onwards,N/A,Not Included,,,,,0,"1,737","2,080","1,886","5,703"
PMT,1480,1991,BEL | REL-1017-302,Bellaire,Dr. Shonna Piegari,REL-1017-302,Closed,Pre-Closed,Relmada,Unknown,Major Depressive Disorder, Psychiatry ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/24/2023,Psych,"20,233",Relmada-REL-1017-302,No CRO,Relmada,Active,Closed,1991BEL | REL-1017-302,1,0,1,"84,276","84,276",No Priority,"116,519",Q3,No CRO,Closed,Bellaire Psych,Psychiatry,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,5,0,0,0,1,1,0,,1,-1,1,-1,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1359,1686,BEL | 219833,Bellaire,Dr. Bonnie Colville,219833,Closed,Pre-Closed,GSK,IQVIA,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/14/2023,Non-Psych,"12,171",GSK-DMCR-219833-Phase 1 Influenza Vaccine,IQVIA,GSK,Active,Closed,1686BEL | 219833,34,0,34,"497,205","497,205",No Priority,"557,571",Q3,IQVIA,Closed,Bellaire Non-Psych,Vaccine-Influenza,76% - 85%,Closed,GSK,IQVIA,Not Priority,0,0,0,  - ,,0,0,0,0,37,37,0,,37,-37,37,-37,,"1,232",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,1284,1614,MDC | 1404-0040,Martin Diagnostic Center,Dr. Earl F. Martin,1404-0040,Maintenance,Maintenance,Boehringer Ingelheim,Unknown,Obesity,General Medicine,Non-Vaccine,,"22,239","41,505","14,493",700,"1,478","7,125","10,077","5,649","1,883",0,0,0,"105,148.63",Maintenance,0,100%,,1/17/2024,Non-Psych,"53,993",Boehringer Ingelheim 1404-0040,No CRO,Boehringer Ingelheim,Active,Maintenance,1614MDC | 1404-0040,14,0,14,"734,710","734,710",No Priority,"842,839",Q1,No CRO,Maintenance,Martin Diagnostic Center,Obesity,76% - 85%,Maintenance,Other,Other,Not Priority,"78,237","9,303","17,609",  - ,,,0,0,35,14,14,0,,14,21,14,21,,"1,253",301 Onwards,N/A,Not Included,,,,,"22,239","41,505","14,493",700,"78,937"
PMT,1467,1955,TRA | M23-699,Tomball 13414,Dr. Shaikh Arif Ali,M23-699,Maintenance,Maintenance,AbbVie,Unknown,Systemic Lupus Erythematosus (SLE),Allergy/Immunology,Non-Vaccine,,0,0,"-4,177",0,-834,0,0,0,0,0,0,0,"-5,010.55",Maintenance,0,100%,,10/24/2023,Non-Psych,"56,930",Abbvie-M23-699-SLE,No CRO,Abbvie,Active,Maintenance,1955TRA | M23-699,9,0,9,"98,341","98,341",No Priority,"131,711",Q4,No CRO,Maintenance,Tomball 13414,General Medicine,76% - 85%,Maintenance,Other,Other,Not Priority,"-4,177",-834,0,  - ,,3,0,0,3,2,2,0,,2,1,2,1,,227,151 to 300 Days,N/A,Not Included,,,,,0,0,"-4,177",0,"-4,177"
PMT,1456,1922,MDC | NN9388-4896,Martin Diagnostic Center,Dr. Earl F. Martin,NN9388-4896,Maintenance,Maintenance,Novo Norsdisk,Unknown,Diabetes,Endocrine & Metabolism,Non-Vaccine,,0,0,"6,853",0,0,0,0,0,0,0,0,0,"6,853.00",Maintenance,0,100%,,10/30/2023,Non-Psych,"33,535",Novo Nordisk-NN9388-4896-Phase 3 T2DM,No CRO,Novo Norsdisk,Active,Maintenance,1922MDC | NN9388-4896,11,0,11,"465,760","465,760",No Priority,"497,695",Q4,No CRO,Maintenance,Martin Diagnostic Center,General Medicine,76% - 85%,Maintenance,Other,Other,Not Priority,"6,853",0,0,  - ,,,0,0,25,16,16,0,,16,9,16,9,,"1,172",301 Onwards,N/A,Not Included,,,,,0,0,"6,853",0,"6,853"
PMT,1518,2075,TRA | CAIN457C22301,Tomball 13414,Dr. Shaikh Arif Ali,CAIN457C22301,Closed,Pre-Closed,Novartis,PPD,Polymyalgia Rheumatica,Rheumatoid and Autoimmune,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,3/6/2024,Non-Psych,"50,704",Novartis-CAIN457C22301-Phase 3 Polymyalgia rheumatica,PPD,Novartis,Active,Closed,2075TRA | CAIN457C22301,0,0,0,"20,610","20,610",No Priority,"46,022",Q1,PPD,Closed,Tomball 13414,Rheumatology,76% - 85%,Closed,Other,PPD,Not Priority,0,0,0,  - ,,1,0,0,0,1,1,0,,1,-1,1,-1,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1530,2118,PHL | VAX31-101,Philadelphia,Dr. Kem Yenal,VAX31-101,Closed,Pre-Closed,Vaxcyte,Linical,Pneumococcal,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,1/2/2024,Non-Psych,"12,143",Vaxcyte/Linical-VAX31-101-Phase 1/2  Pneumococcal Vaccine,Linical,Vaxcyte,Active,Closed,2118PHL | VAX31-101,54,0,54,"623,107","623,107",No Priority,"674,043",Q1,Others,Closed,Philadelphia,Vaccine-Other,76% - 85%,Closed,Vaxcyte,Other,Not Priority,0,0,0,  - ,,12,0,0,60,56,56,0,,56,4,56,4,,"1,071",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,1530,2120,SFL | VAX31-101,Southfield,Dr. Rana Sami Balboul,VAX31-101,Closed,Closed,Vaxcyte,Linical,Pneumococcal,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,1/2/2024,Non-Psych,"12,143",Vaxcyte/Linical-VAX31-101-Phase 1/2  Pneumococcal Vaccine,Linical,Vaxcyte,Active,Closed,2120SFL | VAX31-101,42,0,42,"510,644","510,644",No Priority,"543,386",Q1,Others,Closed,Southfield,Vaccine-Other,76% - 85%,Closed,Vaxcyte,Other,Not Priority,0,0,0,  - ,,0,0,0,60,43,43,0,,43,17,43,17,,"1,071",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,1478,1984,PHL | 2019nCoV-313,Philadelphia,Dr. Kem Yenal,2019nCoV-313,Closed,Closed,Novavax,Syneos Health,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/7/2023,Non-Psych,"8,881",Syneos-7049537/ERN 6975-Phase 2/3 Adult Covid Booster Study,Syneos Health,Novavax,Active,Closed,1984PHL | 2019nCoV-313,11,0,11,"92,162","92,162",No Priority,"115,400",Q3,Syneos Health,Closed,Philadelphia,Vaccine-COVID,76% - 85%,Closed,Other,Syneos Health,Not Priority,0,0,0,  - ,,7,0,0,11,11,11,0,,11,0,11,0,,"1,147",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,1532,2136,CYF | mRNA-1345-P304,CyFair,Dr. Muhammad Irfan,mRNA-1345-P304,Closed,Pre-Closed,Moderna,Parexel,RSV_Flu Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/25/2023,Non-Psych,"10,346",Moderna-mRNA-1345-P304/281499-RSV + Flu Study,Parexel,Moderna,Active,Closed,2136CYF | mRNA-1345-P304,96,0,96,"957,359","957,359",No Priority,"1,014,020",Q3,Parexel,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,80,0,0,80,102,102,0,,102,-22,102,-22,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1532,2135,BOS | mRNA-1345-P304,Brookline,Dr. Basmah Jalil,mRNA-1345-P304,Closed,Closed,Moderna,Parexel,RSV_Flu Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/28/2023,Non-Psych,"10,346",Moderna-mRNA-1345-P304/281499-RSV + Flu Study,Parexel,Moderna,Active,Closed,2135BOS | mRNA-1345-P304,40,0,40,"394,103","394,103",No Priority,"439,611",Q3,Parexel,Closed,Brookline,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,100,0,0,100,40,40,0,,40,60,40,60,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1532,2134,SFL | mRNA-1345-P304,Southfield,Dr. Rebecca Rivard,mRNA-1345-P304,Closed,Closed,Moderna,Parexel,RSV_Flu Vaccine,Vaccine-Respiratory,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/28/2023,Non-Psych,"10,346",Moderna-mRNA-1345-P304/281499-RSV + Flu Study,Parexel,Moderna,Active,Closed,2134SFL | mRNA-1345-P304,77,0,77,"752,325","752,325",No Priority,"801,836",Q3,Parexel,Closed,Southfield,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,100,0,0,100,78,78,0,,78,22,78,22,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1532,2133,RFT | mRNA-1345-P304,River Forest,Dr. Mary Brown,mRNA-1345-P304,Closed,Closed,Moderna,Parexel,RSV_Flu Vaccine,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/28/2023,Non-Psych,"10,346",Moderna-mRNA-1345-P304/281499-RSV + Flu Study,Parexel,Moderna,Active,Closed,2133RFT | mRNA-1345-P304,73,0,73,"716,804","716,804",No Priority,"755,057",Q3,Parexel,Closed,River Forest,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,80,0,0,80,75,75,0,,75,5,75,5,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1532,2132,PHL | mRNA-1345-P304,Philadelphia,Dr. Kem Yenal,mRNA-1345-P304,Closed,Closed,Moderna,Parexel,RSV_Flu Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/25/2023,Non-Psych,"10,346",Moderna-mRNA-1345-P304/281499-RSV + Flu Study,Parexel,Moderna,Active,Closed,2132PHL | mRNA-1345-P304,63,0,63,"626,691","626,691",No Priority,"663,345",Q3,Parexel,Closed,Philadelphia,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,100,0,0,100,64,64,0,,64,36,64,36,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,1532,2131,MDC | mRNA-1345-P304,Martin Diagnostic Center,Dr. Earl F. Martin,mRNA-1345-P304,Closed,Closed,Moderna,Parexel,RSV_Flu Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/25/2023,Non-Psych,"10,346",Moderna-mRNA-1345-P304/281499-RSV + Flu Study,Parexel,Moderna,Active,Closed,2131MDC | mRNA-1345-P304,66,0,66,"671,294","671,294",No Priority,"745,013",Q3,Parexel,Closed,Martin Diagnostic Center,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,80,0,0,80,72,72,0,,72,8,72,8,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
